#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.005119583,-0.136139445,0.002424576,,-0.149707912,9.063292759,,9.421974887,
-0.005118333,-0.134794084,0.003429376,,-0.148154634,9.017976497,,,
-0.005117083,-0.133112382,0.003764309,,-0.14660099,9.200898724,,,
-0.005115833,-0.13176702,0.003094442,,-0.145046985,9.155629874,,,
-0.005114583,-0.130085318,0.002424576,,-0.143492622,9.343549439,,,
-0.005113333,-0.128739956,0.003094442,,-0.141937905,9.298396085,,,
-0.005112083,-0.128403616,0.002089643,,-0.140382837,8.533252247,,,
-0.005110833,-0.126721914,0.002759509,,-0.138827424,8.719826123,,,
-0.005109583,-0.125712893,0.002759509,,-0.137271667,8.420364617,,,
-0.005108333,-0.12403119,0.002424576,,-0.135715572,8.609462999,,,
-0.005107083,-0.122349488,0.002424576,,-0.134159143,8.802720397,,,
-0.005105833,-0.121340467,0.002759509,,-0.132602382,8.492995695,,,
-0.005104583,-0.119658765,0.002759509,,-0.131045294,8.689002299,,,
-0.005103333,-0.118313403,0.003094442,,-0.129487882,8.629748696,,,
-0.005102083,-0.116631701,0.003429376,,-0.127930151,8.831733472,,,
-0.005100833,-0.114949999,0.003094442,,-0.126372105,9.038470578,,,
-0.005099583,-0.113604638,0.002759509,,-0.124813746,8.980668492,,,
-0.005098333,-0.111922935,0.002759509,,-0.12325508,9.194058798,,,
-0.005097083,-0.110577574,0.002089643,,-0.12169611,9.136311564,,,
-0.005095833,-0.109568553,0.002424576,,-0.120136839,8.796873921,,,
-0.005094583,-0.108223191,0.003094442,,-0.118577272,8.731926955,,,
-0.005093333,-0.106541489,0.003764309,,-0.117017412,8.952448114,,,
-0.005092083,-0.105196127,0.002759509,,-0.115457263,8.88738913,,,
-0.005090833,-0.103850766,0.003094442,,-0.11389683,8.820319749,,,
-0.005089583,-0.102169063,0.003094442,,-0.112336116,9.050564225,,,
-0.005088333,-0.100823702,0.002089643,,-0.110775124,8.983445052,,,
-0.005087083,-0.099814681,0.002424576,,-0.109213859,8.606214303,,,
-0.005085833,-0.098805659,0.002424576,,-0.107652325,8.217811996,,,
-0.005084583,-0.097460298,0.002424576,,-0.106090525,8.134776752,,,
-0.005083333,-0.095778596,0.002424576,,-0.104528463,8.370799135,,,
-0.005082083,-0.094769574,0.003094442,,-0.102966144,7.960450885,,,
-0.005080833,-0.093424213,0.003429376,,-0.10140357,7.868911563,,,
-0.005079583,-0.091742511,0.003094442,,-0.099840746,8.111152733,,,
-0.005078333,-0.090060809,0.003764309,,-0.098277676,8.360868477,,,
-0.005077083,-0.088379106,0.002759509,,-0.096714363,8.618426752,,,
-0.005075833,-0.087370085,0.002759509,,-0.095150812,8.177256988,,,
-0.005074583,-0.086361064,0.002759509,,-0.093587025,7.721114589,,,
-0.005073333,-0.085352043,0.002424576,,-0.092023008,7.249236641,,,
-0.005072083,-0.083334,0.003094442,,-0.090458764,7.876256166,,,
-0.005070833,-0.081315958,0.003429376,,-0.088894297,8.525112878,,,
-0.005069583,-0.079297915,0.003429376,,-0.08732961,9.196989372,,,
