#Digilent WaveForms Network Analyzer - Bode,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-24 09:51:49.981,,,,,,,,
#Start: 46724.1 Hz,,,,,,,,
#Stop: 50811 Hz,,,,,,,,
#Steps: 300,,,,,,,,
#Wavegen: Wavegen C1,,,,,,,,
#Amplification: 1 X,,,,,,,,
#Settle: 10 ms,,,,,,,,
#MinPeriods: 16 ,,,,,,,,
#Channel: Channel 1,,,,,,,,
#Range: 5.5106 V,,,,,,,,
#Offset: -7.84228e-05 V,,,,,,,,
#Relative: no,,,,,,,,
#Channel: Channel 2,,,,,,,,
#Range: 5.48754 V,,,,,,,,
#Offset: -8.00442e-05 V,,,,,,,,
#Relative: yes,,,,,,,,
,,,,,,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),,,,,
46724.06383,0.077449688,-29.44499924,83.02927308107994,,,,,
46737.16926573671,0.07880062,-29.39775972,82.96711570400187,,,,,
46750.27837702796,0.07768854,-29.33585636,83.1973237,,,,,
46763.39116523848,0.078074583,-29.30048485,82.87315622101062,,,,,
46776.50763139962,0.077728377,-29.25234472,82.76424686066731,,,,,
46789.62777654297,0.077466604,-29.1717788,82.80700692958192,,,,,
46802.75160170044,0.078493767,-29.13321959,82.50407656284534,,,,,
46815.87910790423,0.078818972,-29.07794177,82.36181174221208,,,,,
46829.0103,0.078761994,-29.0462949,82.27985955827516,,,,,
46842.14516758094,0.078205483,-29.00829027,82.35721829998914,,,,,
46855.28372,0.079290398,-28.9443995,82.03470282461433,,,,,
46868.42596383645,0.077286162,-28.88132049,82.00356430583719,,,,,
46881.57189,0.077703645,-28.82983639,81.90217351827079,,,,,
46894.7215,0.080378579,-28.78453059,81.77643567341042,,,,,
46907.87480739236,0.078371519,-28.74742074,81.61487728636209,,,,,
46921.0318,0.078958292,-28.69260158,81.58433085867694,,,,,
46934.19248127731,0.078199123,-28.63243606,81.44124392503682,,,,,
46947.35685477849,0.078263457,-28.59638906,81.31991421822818,,,,,
46960.52492069921,0.07762316,-28.54194459,81.19987225262544,,,,,
46973.69668007515,0.078834076,-28.46706594,81.25168964,,,,,
46986.87213394226,0.07884196,-28.46494416,80.96219594421414,,,,,
47000.05128333681,0.079028623,-28.3739771,80.87708241,,,,,
47013.23412929534,0.07775534,-28.31685767,80.79211571044129,,,,,
47026.42067285466,0.07832951,-28.26481528,80.61160023127781,,,,,
47039.61091505192,0.079677985,-28.22046003,80.54366473372841,,,,,
47052.80485692453,0.07811732,-28.16452808,80.46282509,,,,,
47066.00249951018,0.077654505,-28.09885487,80.31418098327933,,,,,
47079.20384,0.077062517,-28.04496647,80.08047534113922,,,,,
47092.40889097295,0.076865816,-28.00549814,80.03788281727589,,,,,
47105.61764192692,0.076639729,-27.93834453,79.93374474810838,,,,,
47118.83009774768,0.076806939,-27.8905098,79.78638109648318,,,,,
47132.04625947439,0.07785621,-27.84057829,79.56241442055619,,,,,
47145.26612814651,0.076634871,-27.77497784,79.56251409150242,,,,,
47158.48970480378,0.077753814,-27.71905502,79.46119423388814,,,,,
47171.71699048625,0.077773989,-27.64772899,79.25438081249987,,,,,
47184.94798623423,0.076212807,-27.59072142,79.08966240270422,,,,,
47198.18269308834,0.076799953,-27.5461998,79.01609902726568,,,,,
47211.42111208951,0.077327886,-27.47559451,78.73291916018057,,,,,
