#Digilent WaveForms Network Analyzer - Bode,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-24 09:58:11.236,,,,,,,,
#Start: 46724.1 Hz,,,,,,,,
#Stop: 50811 Hz,,,,,,,,
#Steps: 300,,,,,,,,
#Wavegen: Wavegen C1,,,,,,,,
#Amplification: 1 X,,,,,,,,
#Settle: 10 ms,,,,,,,,
#MinPeriods: 16 ,,,,,,,,
#Channel: Channel 1,,,,,,,,
#Range: 5.5106 V,,,,,,,,
#Offset: -7.84228e-05 V,,,,,,,,
#Relative: no,,,,,,,,
#Channel: Channel 2,,,,,,,,
#Range: 5.48754 V,,,,,,,,
#Offset: -8.00442e-05 V,,,,,,,,
#Relative: yes,,,,,,,,
,,,,,,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),,,,,
46724.06383,0.077836545,-10.41017869,58.05226978283743,,,,,
46737.16926573671,0.078159746,-10.37842205,57.90858602,,,,,
46750.27837702796,0.07830087,-10.34413111,57.76945074102593,,,,,
46763.39116523848,0.078604046,-10.30598778,57.60554262423625,,,,,
46776.50763139962,0.078761864,-10.26655101,57.44300072220523,,,,,
46789.62777654297,0.077393372,-10.22582906,57.27228474686065,,,,,
46802.75160170044,0.078766861,-10.18954407,57.13429763420371,,,,,
46815.87910790423,0.078044246,-10.15061177,56.94650069,,,,,
46829.0103,0.078782802,-10.10968907,56.74576522064037,,,,,
46842.14516758094,0.077898317,-10.07222904,56.59360073696008,,,,,
46855.28372,0.077331441,-10.03104811,56.41557822106054,,,,,
46868.42596383645,0.077556452,-9.992321467,56.22720274497668,,,,,
46881.57189,0.078634183,-9.954315143,56.03376381704381,,,,,
46894.7215,0.079612493,-9.914988397,55.86363242937966,,,,,
46907.87480739236,0.078465266,-9.874072772,55.70185894513648,,,,,
46921.0318,0.078999784,-9.833554118,55.50677379820836,,,,,
